Epoch, Train Loss, Train Acc, Val Loss, Val Acc
1, 0.0266, 6.33, 0.0287, 6.54
2, 0.0140, 8.31, 0.0194, 9.28
3, 0.0100, 10.07, 0.0151, 9.67
4, 0.0079, 11.70, 0.0132, 10.79
5, 0.0061, 13.23, 0.0129, 10.54
6, 0.0048, 14.84, 0.0103, 13.15
7, 0.0040, 16.47, 0.0085, 13.91
8, 0.0035, 17.95, 0.0088, 12.96
9, 0.0030, 19.37, 0.0074, 13.49
10, 0.0026, 20.72, 0.0070, 15.06
11, 0.0022, 21.98, 0.0067, 16.01
12, 0.0020, 23.30, 0.0061, 16.65
13, 0.0018, 24.51, 0.0064, 16.89
14, 0.0016, 25.80, 0.0060, 16.72
15, 0.0014, 26.92, 0.0052, 17.06
16, 0.0014, 27.98, 0.0051, 17.16
17, 0.0013, 28.89, 0.0053, 18.47
18, 0.0012, 29.95, 0.0054, 17.61
19, 0.0011, 30.96, 0.0053, 20.08
